id,folder,title,date,reason,post_score,img_score,post_title_suggested,post_url_suggested
3,2008-12-13 Dakshineswar Kali Temple in 1850s,Dakshineswar Kali Temple in 1850s,2008-12-13,post_low_confidence,0.470,,"Rao Petarah's Temple, Delhi 1858",https://www.oldindianphotos.in/2009/04/rao-petarahs-temple-delhi-1858.html
4,2008-12-13 Photography of Raja Deen Dayal,Photography of Raja Deen Dayal,2008-12-13,post_low_confidence,0.321,,Lord and Lady Mountbatten in 1948,https://www.oldindianphotos.in/2008/12/lord-and-lady-mountbatten-in-1948.html
5,2008-12-13 Photography of Raja Deen Dayal,Photography of Raja Deen Dayal,2008-12-13,post_low_confidence,0.321,,Lord and Lady Mountbatten in 1948,https://www.oldindianphotos.in/2008/12/lord-and-lady-mountbatten-in-1948.html
6,2008-12-13 Photography of Raja Deen Dayal,Photography of Raja Deen Dayal,2008-12-13,post_low_confidence,0.321,,Lord and Lady Mountbatten in 1948,https://www.oldindianphotos.in/2008/12/lord-and-lady-mountbatten-in-1948.html
7,2008-12-14 Elephant pulling a field gun,Elephant pulling a field gun,2008-12-14,post_low_confidence,0.315,,St Paul's Cathedral - Calcutta (Kolkata) 1865,https://www.oldindianphotos.in/2008/12/st-pauls-cathedral-calcutta-1865.html
8,2008-12-14 Indian Mutiny Part - III,Indian Mutiny,2008-12-14,post_low_confidence,0.410,,Indian Dance Vintage Photos - Part 3,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-3.html
9,2008-12-14 Indian Mutiny Part - III,Indian Mutiny,2008-12-14,post_low_confidence,0.410,,Indian Dance Vintage Photos - Part 3,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-3.html
10,2008-12-14 Indian Mutiny Part - III,Indian Mutiny,2008-12-14,post_low_confidence,0.410,,Indian Dance Vintage Photos - Part 3,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-3.html
11,2008-12-14 Indian Mutiny Part - III,Indian Mutiny,2008-12-14,post_low_confidence,0.410,,Indian Dance Vintage Photos - Part 3,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-3.html
12,2008-12-14 Indian Mutiny Part I,Indian Mutiny,2008-12-14,post_low_confidence,0.438,,Indian Dance Vintage Photos - Part 1,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-1.html
13,2008-12-14 Indian Mutiny Part I,Indian Mutiny,2008-12-14,post_low_confidence,0.438,,Indian Dance Vintage Photos - Part 1,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-1.html
14,2008-12-14 Indian Mutiny Part I,Indian Mutiny,2008-12-14,post_low_confidence,0.438,,Indian Dance Vintage Photos - Part 1,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-1.html
15,2008-12-14 Indian Mutiny Part II,Indian Mutiny,2008-12-14,post_low_confidence,0.434,,Indian Dance Vintage Photos - Part 2,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-2.html
16,2008-12-14 Indian Mutiny Part II,Indian Mutiny,2008-12-14,post_low_confidence,0.434,,Indian Dance Vintage Photos - Part 2,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-2.html
17,2008-12-14 Indian Mutiny Part II,Indian Mutiny,2008-12-14,post_low_confidence,0.434,,Indian Dance Vintage Photos - Part 2,https://www.oldindianphotos.in/2010/04/indian-dancing-vintage-photos-part-2.html
61,2008-12-30 Bengal Orissa Native Wood Turner 1920's,Bengal Orissa Native Wood Turner 1920's 1920,2008-12-30,post_low_confidence,0.423,,St Paul's Cathedral - Calcutta (Kolkata) 1865,https://www.oldindianphotos.in/2008/12/st-pauls-cathedral-calcutta-1865.html
62,2008-12-30 Calcutta (Kolkata) Metro Rail Construction Old Photo 1971,Calcutta (Kolkata) Metro Rail Construction Old Photo 1971,2008-12-30,post_low_confidence,0.487,,Various Views of Kolkata (Calcutta) - c1850's,https://www.oldindianphotos.in/2008/12/calcutta-kolkata-in-1850s.html
63,"2008-12-30 Delhi , the Sumon Burj (interior)","Delhi , the Sumon Burj (interior)",2008-12-30,post_low_confidence,0.464,,King George V and Queen Mary in Delhi Durbar of 1911,https://www.oldindianphotos.in/2008/12/delhi-durbar-of-1911.html
64,2008-12-30 Nepalese group with wicker basket bush knives,Nepalese group with wicker basket bush knives,2008-12-30,post_low_confidence,0.327,,Calcutta (Kolkata) Docks with the Swing-Bridge Gates at the Entrance to the Half-Tide Basin as seen from the River - 1891,https://www.oldindianphotos.in/2008/12/calcutta-docks-swing-bridge-at.html
65,2008-12-30 Roosevelt Expedition - India 1920s,Roosevelt Expedition - India 1920s,2008-12-30,post_low_confidence,0.471,,Seeta Devi and Himansu Rai in Prem Sanyas - 1925,https://www.oldindianphotos.in/2008/12/seeta-devi-and-himansu-rai.html
66,2008-12-30 Roosevelt Expedition - India 1920s,Roosevelt Expedition - India 1920s,2008-12-30,post_low_confidence,0.471,,Seeta Devi and Himansu Rai in Prem Sanyas - 1925,https://www.oldindianphotos.in/2008/12/seeta-devi-and-himansu-rai.html
